id,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
75,male,group C,some high school,standard,none,49.0,49.0,41.0
76,male,group B,associate's degree,free/reduced,none,44.0,41.0,38.0
77,male,group E,some high school,standard,none,30.0,26.0,22.0
78,male,group A,bachelor's degree,standard,completed,80.0,78.0,81.0
79,female,group D,some high school,standard,completed,61.0,74.0,72.0
80,female,group E,master's degree,standard,none,62.0,68.0,68.0
81,female,group B,associate's degree,standard,none,47.0,49.0,50.0
82,male,group B,high school,free/reduced,none,49.0,45.0,45.0
83,male,group A,some college,free/reduced,completed,50.0,47.0,54.0
84,male,group E,associate's degree,standard,none,72.0,64.0,63.0
85,male,group D,high school,free/reduced,none,42.0,39.0,34.0
86,female,group C,some college,standard,none,73.0,80.0,82.0
87,female,group C,some college,free/reduced,none,76.0,83.0,88.0
88,female,group D,associate's degree,standard,none,71.0,71.0,74.0
89,female,group A,some college,standard,none,58.0,70.0,67.0
90,female,group D,some high school,standard,none,73.0,86.0,82.0
91,female,group C,bachelor's degree,standard,none,65.0,72.0,74.0
92,male,group C,high school,free/reduced,none,27.0,34.0,36.0
93,male,group C,high school,standard,none,71.0,79.0,71.0
94,male,group C,associate's degree,free/reduced,completed,43.0,45.0,50.0
95,female,group B,some college,standard,none,79.0,86.0,92.0
96,male,group C,associate's degree,free/reduced,completed,78.0,81.0,82.0
97,male,group B,some high school,standard,completed,65.0,66.0,62.0
98,female,group E,some college,standard,completed,63.0,72.0,70.0
99,female,group D,some college,free/reduced,none,58.0,67.0,62.0
100,female,group D,bachelor's degree,standard,none,65.0,67.0,62.0
101,male,group B,some college,standard,none,79.0,67.0,67.0
102,male,group D,bachelor's degree,standard,completed,68.0,74.0,74.0
103,female,group D,associate's degree,standard,none,85.0,91.0,89.0
104,male,group B,high school,standard,completed,60.0,44.0,47.0
105,male,group C,some college,standard,completed,98.0,86.0,90.0
106,female,group C,some college,standard,none,58.0,67.0,72.0
107,female,group D,master's degree,standard,none,87.0,100.0,100.0
108,male,group E,associate's degree,standard,completed,66.0,63.0,64.0
109,female,group B,associate's degree,free/reduced,none,52.0,76.0,70.0
110,female,group B,some high school,standard,none,70.0,64.0,72.0
111,female,group D,associate's degree,free/reduced,completed,77.0,89.0,98.0
112,male,group C,high school,standard,none,62.0,55.0,49.0
113,male,group A,associate's degree,standard,none,54.0,53.0,47.0
114,female,group D,some college,standard,none,51.0,58.0,54.0
115,female,group E,bachelor's degree,standard,completed,99.0,100.0,100.0
116,male,group C,high school,standard,none,84.0,77.0,74.0
117,female,group B,bachelor's degree,free/reduced,none,75.0,85.0,82.0
118,female,group D,bachelor's degree,standard,none,78.0,82.0,79.0
119,female,group D,some high school,standard,none,51.0,63.0,61.0
120,female,group C,some college,standard,none,55.0,69.0,65.0
121,female,group C,bachelor's degree,standard,completed,79.0,92.0,89.0
122,male,group B,associate's degree,standard,completed,91.0,89.0,92.0
123,female,group C,some college,standard,completed,88.0,93.0,93.0
124,male,group D,high school,free/reduced,none,63.0,57.0,56.0
125,male,group E,some college,standard,none,83.0,80.0,73.0
126,female,group B,high school,standard,none,87.0,95.0,86.0
127,male,group B,some high school,standard,none,72.0,68.0,67.0
128,male,group D,some college,standard,completed,65.0,77.0,74.0
129,male,group D,master's degree,standard,none,82.0,82.0,74.0
130,female,group A,bachelor's degree,standard,none,51.0,49.0,51.0
131,male,group D,master's degree,standard,none,89.0,84.0,82.0
132,male,group C,some high school,free/reduced,completed,53.0,37.0,40.0
133,male,group E,some college,free/reduced,completed,87.0,74.0,70.0
134,female,group C,some college,standard,completed,75.0,81.0,84.0
135,male,group D,bachelor's degree,free/reduced,completed,74.0,79.0,75.0
136,male,group C,bachelor's degree,standard,none,58.0,55.0,48.0
137,male,group B,some high school,standard,completed,51.0,54.0,41.0
138,male,group E,high school,standard,none,70.0,55.0,56.0
139,female,group C,associate's degree,standard,none,59.0,66.0,67.0
140,male,group D,some college,standard,completed,71.0,61.0,69.0
141,female,group D,some high school,standard,none,76.0,72.0,71.0
142,female,group C,some college,free/reduced,none,59.0,62.0,64.0
143,female,group E,some college,free/reduced,completed,42.0,55.0,54.0
144,male,group A,high school,standard,none,57.0,43.0,47.0
145,male,group D,some college,standard,none,88.0,73.0,78.0
146,female,group C,some college,free/reduced,none,22.0,39.0,33.0
147,male,group B,some high school,standard,none,88.0,84.0,75.0
148,male,group C,associate's degree,free/reduced,none,73.0,68.0,66.0
149,female,group D,bachelor's degree,standard,completed,68.0,75.0,81.0
150,male,group E,associate's degree,free/reduced,completed,100.0,100.0,93.0
151,male,group A,some high school,standard,completed,62.0,67.0,69.0
152,male,group A,bachelor's degree,standard,none,77.0,67.0,68.0
153,female,group B,associate's degree,standard,completed,59.0,70.0,66.0
154,male,group D,bachelor's degree,standard,none,54.0,49.0,47.0
155,male,group D,some high school,standard,none,62.0,67.0,61.0
156,female,group C,some college,standard,completed,70.0,89.0,88.0
157,female,group E,high school,free/reduced,completed,66.0,74.0,78.0
158,male,group B,some college,free/reduced,none,60.0,60.0,60.0
159,female,group B,associate's degree,standard,completed,61.0,86.0,87.0
160,male,group D,associate's degree,free/reduced,none,66.0,62.0,64.0
161,male,group B,associate's degree,free/reduced,completed,82.0,78.0,74.0
162,female,group E,some college,free/reduced,completed,75.0,88.0,85.0
163,male,group B,master's degree,free/reduced,none,49.0,53.0,52.0
164,male,group C,high school,standard,none,52.0,53.0,49.0
165,female,group E,master's degree,standard,none,81.0,92.0,91.0
166,female,group C,bachelor's degree,standard,completed,96.0,100.0,100.0
167,male,group C,high school,free/reduced,completed,53.0,51.0,51.0
168,female,group B,master's degree,free/reduced,completed,58.0,76.0,78.0
169,female,group B,high school,standard,completed,68.0,83.0,78.0
170,female,group C,some college,free/reduced,completed,67.0,75.0,70.0
171,male,group A,high school,standard,completed,72.0,73.0,74.0
172,male,group E,some high school,standard,none,94.0,88.0,78.0
173,female,group D,some college,standard,none,79.0,86.0,81.0
174,female,group C,associate's degree,standard,none,63.0,67.0,70.0
175,female,group C,bachelor's degree,free/reduced,completed,43.0,51.0,54.0
176,female,group C,master's degree,standard,completed,81.0,91.0,87.0
177,female,group B,high school,free/reduced,completed,46.0,54.0,58.0
178,female,group C,associate's degree,standard,completed,71.0,77.0,77.0
179,female,group B,master's degree,free/reduced,completed,52.0,70.0,62.0
180,female,group D,some high school,standard,completed,97.0,100.0,100.0
181,male,group C,master's degree,free/reduced,completed,62.0,68.0,75.0
182,female,group C,some college,free/reduced,none,46.0,64.0,66.0
183,female,group E,high school,standard,none,50.0,50.0,47.0
184,female,group D,associate's degree,standard,none,65.0,69.0,70.0
185,male,group C,some high school,free/reduced,completed,45.0,52.0,49.0
186,male,group C,associate's degree,free/reduced,completed,65.0,67.0,65.0
187,male,group E,high school,standard,none,80.0,76.0,65.0
188,male,group D,some high school,standard,completed,62.0,66.0,68.0
189,male,group B,some high school,free/reduced,none,48.0,52.0,45.0
190,female,group C,bachelor's degree,standard,none,77.0,88.0,87.0
191,female,group E,associate's degree,standard,none,66.0,65.0,69.0
192,male,group D,some college,standard,completed,76.0,83.0,79.0
193,female,group B,some high school,standard,none,62.0,64.0,66.0
194,male,group D,some college,standard,completed,77.0,62.0,62.0
195,female,group C,master's degree,standard,completed,69.0,84.0,85.0
196,male,group D,associate's degree,standard,none,61.0,55.0,52.0
197,male,group C,some high school,free/reduced,completed,59.0,69.0,65.0
198,male,group E,high school,free/reduced,none,55.0,56.0,51.0
199,female,group B,some college,free/reduced,none,45.0,53.0,55.0
200,female,group B,bachelor's degree,free/reduced,none,78.0,79.0,76.0
201,female,group C,associate's degree,standard,completed,67.0,84.0,86.0
202,female,group D,some college,free/reduced,none,65.0,81.0,77.0
203,male,group C,associate's degree,standard,none,69.0,77.0,69.0
204,female,group B,associate's degree,standard,none,57.0,69.0,68.0
205,male,group C,some college,standard,none,59.0,41.0,42.0
206,male,group D,some high school,standard,completed,74.0,71.0,78.0
207,male,group E,bachelor's degree,standard,none,82.0,62.0,62.0
208,male,group E,high school,standard,completed,81.0,80.0,76.0
209,female,group B,some college,free/reduced,none,74.0,81.0,76.0
210,female,group B,some college,free/reduced,none,58.0,61.0,66.0
211,male,group D,some high school,free/reduced,completed,80.0,79.0,79.0
212,male,group C,some college,free/reduced,none,35.0,28.0,27.0
213,female,group C,high school,free/reduced,none,42.0,62.0,60.0
214,male,group C,associate's degree,free/reduced,completed,60.0,51.0,56.0
215,male,group E,high school,standard,completed,87.0,91.0,81.0
216,male,group B,some high school,standard,completed,84.0,83.0,75.0
217,female,group E,associate's degree,free/reduced,completed,83.0,86.0,88.0
218,female,group C,high school,free/reduced,none,34.0,42.0,39.0
219,male,group B,high school,free/reduced,none,66.0,77.0,70.0
220,male,group B,some high school,standard,completed,61.0,56.0,56.0
221,female,group D,high school,standard,completed,56.0,68.0,74.0
222,male,group B,associate's degree,standard,none,87.0,85.0,73.0
223,female,group C,some high school,free/reduced,none,55.0,65.0,62.0
224,male,group D,some high school,standard,none,86.0,80.0,75.0
225,female,group B,associate's degree,standard,completed,52.0,66.0,73.0
226,female,group E,master's degree,free/reduced,none,45.0,56.0,54.0
227,female,group C,some college,standard,none,72.0,72.0,71.0
228,male,group D,high school,standard,none,57.0,50.0,54.0
229,male,group A,some high school,free/reduced,none,68.0,72.0,64.0
230,female,group C,some college,standard,completed,88.0,95.0,94.0
231,male,group D,some college,standard,none,76.0,64.0,66.0
232,male,group C,associate's degree,standard,none,46.0,43.0,42.0
233,female,group B,bachelor's degree,standard,none,67.0,86.0,83.0
234,male,group E,some high school,standard,none,92.0,87.0,78.0
235,male,group C,bachelor's degree,standard,completed,83.0,82.0,84.0
236,male,group D,associate's degree,standard,none,80.0,75.0,77.0
237,male,group D,bachelor's degree,free/reduced,none,63.0,66.0,67.0
238,female,group D,some high school,standard,completed,64.0,60.0,74.0
239,male,group B,some college,standard,none,54.0,52.0,51.0
240,male,group C,associate's degree,standard,none,84.0,80.0,80.0
241,male,group D,high school,free/reduced,completed,73.0,68.0,66.0
242,female,group E,bachelor's degree,standard,none,80.0,83.0,83.0
243,female,group D,high school,standard,none,56.0,52.0,55.0
244,male,group E,some college,standard,none,59.0,51.0,43.0
245,male,group D,some high school,standard,none,75.0,74.0,69.0
246,male,group C,associate's degree,standard,none,85.0,76.0,71.0
247,male,group E,associate's degree,standard,none,89.0,76.0,74.0
248,female,group B,high school,standard,completed,58.0,70.0,68.0
249,female,group B,high school,standard,none,65.0,64.0,62.0
250,male,group C,high school,standard,none,68.0,60.0,53.0
251,male,group A,some high school,standard,completed,47.0,49.0,49.0
252,female,group D,some college,free/reduced,none,71.0,83.0,83.0
253,female,group B,some high school,standard,completed,60.0,70.0,70.0
254,male,group D,master's degree,standard,none,80.0,80.0,72.0
255,male,group D,high school,standard,none,54.0,52.0,52.0
256,female,group E,some college,standard,none,62.0,73.0,70.0
257,female,group C,associate's degree,free/reduced,none,64.0,73.0,68.0
258,male,group C,associate's degree,standard,completed,78.0,77.0,77.0
259,female,group B,some college,standard,none,70.0,75.0,78.0
260,female,group C,master's degree,free/reduced,completed,65.0,81.0,81.0
261,female,group C,some high school,free/reduced,completed,64.0,79.0,77.0
262,male,group C,some college,standard,completed,79.0,79.0,78.0
263,female,group C,some high school,free/reduced,none,44.0,50.0,51.0
264,female,group E,high school,standard,none,99.0,93.0,90.0
265,male,group D,high school,standard,none,76.0,73.0,68.0
266,male,group D,some high school,free/reduced,none,59.0,42.0,41.0
267,female,group C,bachelor's degree,standard,none,63.0,75.0,81.0
268,female,group D,high school,standard,none,69.0,72.0,77.0
269,female,group D,associate's degree,standard,completed,88.0,92.0,95.0
270,female,group E,some college,free/reduced,none,71.0,76.0,70.0
271,male,group C,bachelor's degree,standard,none,69.0,63.0,61.0
272,male,group C,some college,standard,none,58.0,49.0,42.0
273,female,group D,associate's degree,free/reduced,none,47.0,53.0,58.0
274,female,group D,some college,standard,none,65.0,70.0,71.0
275,male,group B,some college,standard,completed,88.0,85.0,76.0
276,male,group C,bachelor's degree,standard,none,83.0,78.0,73.0
277,female,group C,some high school,standard,completed,85.0,92.0,93.0
278,female,group E,high school,standard,completed,59.0,63.0,75.0
279,female,group C,some high school,free/reduced,none,65.0,86.0,80.0
280,male,group B,bachelor's degree,free/reduced,none,73.0,56.0,57.0
281,male,group D,high school,standard,none,53.0,52.0,42.0
282,male,group D,high school,standard,none,45.0,48.0,46.0
283,female,group D,bachelor's degree,free/reduced,none,73.0,79.0,84.0
284,female,group D,some college,free/reduced,completed,70.0,78.0,78.0
285,female,group B,some high school,standard,none,37.0,46.0,46.0
286,male,group B,associate's degree,standard,completed,81.0,82.0,82.0
287,male,group E,associate's degree,standard,completed,97.0,82.0,88.0
288,female,group B,some high school,standard,none,67.0,89.0,82.0
289,male,group B,bachelor's degree,free/reduced,none,88.0,75.0,76.0
290,male,group E,some high school,standard,completed,77.0,76.0,77.0
291,male,group C,associate's degree,standard,none,76.0,70.0,68.0
292,male,group D,some high school,standard,none,86.0,73.0,70.0
293,male,group C,some high school,standard,completed,63.0,60.0,57.0
294,female,group E,bachelor's degree,standard,none,65.0,73.0,75.0
295,male,group D,high school,free/reduced,completed,78.0,77.0,80.0
296,male,group B,associate's degree,free/reduced,none,67.0,62.0,60.0
297,male,group A,some high school,standard,completed,46.0,41.0,43.0
298,male,group E,associate's degree,standard,completed,71.0,74.0,68.0
299,male,group C,high school,free/reduced,completed,40.0,46.0,50.0
300,male,group D,associate's degree,free/reduced,none,90.0,87.0,75.0
301,male,group A,some college,free/reduced,completed,81.0,78.0,81.0
302,male,group D,some high school,free/reduced,none,56.0,54.0,52.0
303,female,group C,associate's degree,standard,completed,67.0,84.0,81.0
304,male,group B,associate's degree,standard,none,80.0,76.0,64.0
305,female,group C,associate's degree,standard,completed,74.0,75.0,83.0
306,male,group A,some college,standard,none,69.0,67.0,69.0
307,male,group E,some college,standard,completed,99.0,87.0,81.0
308,male,group C,some high school,standard,none,51.0,52.0,44.0
309,female,group B,associate's degree,free/reduced,none,53.0,71.0,67.0
310,female,group D,high school,free/reduced,none,49.0,57.0,52.0
311,female,group B,associate's degree,standard,none,73.0,76.0,80.0
312,male,group B,bachelor's degree,standard,none,66.0,60.0,57.0
313,male,group D,bachelor's degree,standard,completed,67.0,61.0,68.0
314,female,group C,associate's degree,free/reduced,completed,68.0,67.0,69.0
315,female,group C,bachelor's degree,standard,completed,59.0,64.0,75.0
316,male,group C,high school,standard,none,71.0,66.0,65.0
317,female,group D,master's degree,standard,completed,77.0,82.0,91.0
318,male,group C,associate's degree,standard,none,83.0,72.0,78.0
319,male,group B,bachelor's degree,standard,none,63.0,71.0,69.0
320,female,group D,associate's degree,free/reduced,none,56.0,65.0,63.0
321,female,group C,high school,free/reduced,completed,67.0,79.0,84.0
322,female,group E,high school,standard,none,75.0,86.0,79.0
323,female,group C,some college,standard,none,71.0,81.0,80.0
324,female,group C,some high school,free/reduced,none,43.0,53.0,53.0
325,female,group C,high school,free/reduced,none,41.0,46.0,43.0
326,female,group C,some college,standard,none,82.0,90.0,94.0
327,male,group C,some college,standard,none,61.0,61.0,62.0
328,male,group A,some college,free/reduced,none,28.0,23.0,19.0
329,male,group C,associate's degree,standard,completed,82.0,75.0,77.0
330,female,group B,some high school,standard,none,41.0,55.0,51.0
331,male,group C,high school,standard,none,71.0,60.0,61.0
332,male,group C,associate's degree,standard,none,47.0,37.0,35.0
333,male,group E,associate's degree,standard,completed,62.0,56.0,53.0
334,male,group B,associate's degree,standard,none,90.0,78.0,81.0
335,female,group C,bachelor's degree,standard,none,83.0,93.0,95.0
336,female,group B,some college,free/reduced,none,61.0,68.0,66.0
337,male,group D,some high school,standard,completed,76.0,70.0,69.0
338,male,group C,associate's degree,standard,none,49.0,51.0,43.0
339,female,group B,some high school,free/reduced,none,24.0,38.0,27.0
340,female,group D,some high school,free/reduced,completed,35.0,55.0,60.0
341,male,group C,high school,free/reduced,none,58.0,61.0,52.0
342,female,group C,high school,standard,none,61.0,73.0,63.0
343,female,group B,high school,standard,completed,69.0,76.0,74.0
344,male,group D,associate's degree,standard,completed,67.0,72.0,67.0
345,male,group D,some college,standard,none,79.0,73.0,67.0
346,female,group C,high school,standard,none,72.0,80.0,75.0
347,male,group B,some college,standard,none,62.0,61.0,57.0
348,female,group C,bachelor's degree,standard,completed,77.0,94.0,95.0
349,male,group D,high school,free/reduced,none,75.0,74.0,66.0
350,male,group E,associate's degree,standard,none,87.0,74.0,76.0
351,female,group B,bachelor's degree,standard,none,52.0,65.0,69.0
352,male,group E,some college,standard,none,66.0,57.0,52.0
353,female,group C,some college,standard,completed,63.0,78.0,80.0
354,female,group C,associate's degree,standard,none,46.0,58.0,57.0
355,female,group C,some college,standard,none,59.0,71.0,70.0
356,female,group B,bachelor's degree,standard,none,61.0,72.0,70.0
357,male,group A,associate's degree,standard,none,63.0,61.0,61.0
358,female,group C,some college,free/reduced,completed,42.0,66.0,69.0
359,male,group D,some college,free/reduced,none,59.0,62.0,61.0
360,female,group D,some college,standard,none,80.0,90.0,89.0
361,female,group B,high school,standard,none,58.0,62.0,59.0
362,male,group B,some high school,standard,completed,85.0,84.0,78.0
363,female,group C,some college,standard,none,52.0,58.0,58.0
364,female,group D,some high school,free/reduced,none,27.0,34.0,32.0
365,male,group C,some college,standard,none,59.0,60.0,58.0
366,male,group A,bachelor's degree,free/reduced,completed,49.0,58.0,60.0
367,male,group C,high school,standard,completed,69.0,58.0,53.0
368,male,group C,bachelor's degree,free/reduced,none,61.0,66.0,61.0
369,female,group A,some high school,free/reduced,none,44.0,64.0,58.0
370,female,group D,some high school,standard,none,73.0,84.0,85.0
371,male,group E,some college,standard,none,84.0,77.0,71.0
372,female,group C,some college,free/reduced,completed,45.0,73.0,70.0
373,male,group D,some high school,standard,none,74.0,74.0,72.0
374,female,group D,some college,standard,completed,82.0,97.0,96.0
375,female,group D,bachelor's degree,standard,none,59.0,70.0,73.0
376,male,group E,associate's degree,free/reduced,none,46.0,43.0,41.0
377,female,group D,some high school,standard,none,80.0,90.0,82.0
378,female,group D,master's degree,free/reduced,completed,85.0,95.0,100.0
379,female,group A,some high school,standard,none,71.0,83.0,77.0
380,male,group A,bachelor's degree,standard,none,66.0,64.0,62.0
381,female,group B,associate's degree,standard,none,80.0,86.0,83.0
382,male,group C,associate's degree,standard,completed,87.0,100.0,95.0
383,male,group C,master's degree,free/reduced,none,79.0,81.0,71.0
384,female,group E,some high school,free/reduced,none,38.0,49.0,45.0
385,female,group A,some high school,free/reduced,none,38.0,43.0,43.0
386,female,group E,some college,standard,none,67.0,76.0,75.0
387,female,group E,bachelor's degree,standard,none,64.0,73.0,70.0
388,female,group C,associate's degree,free/reduced,none,57.0,78.0,67.0
389,female,group D,high school,standard,none,62.0,64.0,64.0
390,male,group D,master's degree,standard,none,73.0,70.0,75.0
391,male,group E,some high school,free/reduced,completed,73.0,67.0,59.0
392,female,group D,some college,standard,none,77.0,68.0,77.0
393,male,group E,some college,standard,none,76.0,67.0,67.0
394,male,group C,associate's degree,standard,completed,57.0,54.0,56.0
395,female,group C,some high school,standard,completed,65.0,74.0,77.0
396,male,group A,high school,free/reduced,none,48.0,45.0,41.0
397,female,group B,high school,free/reduced,none,50.0,67.0,63.0
398,female,group C,associate's degree,standard,none,85.0,89.0,95.0
399,male,group B,some high school,standard,none,74.0,63.0,57.0
400,male,group D,some high school,standard,none,60.0,59.0,54.0
401,female,group C,some high school,standard,completed,59.0,54.0,67.0
402,male,group A,some college,standard,none,53.0,43.0,43.0
403,female,group A,some college,free/reduced,none,49.0,65.0,55.0
404,female,group D,high school,standard,completed,88.0,99.0,100.0
405,female,group C,high school,standard,none,54.0,59.0,62.0
406,female,group C,some high school,standard,none,63.0,73.0,68.0
407,male,group B,associate's degree,standard,completed,65.0,65.0,63.0
408,female,group B,associate's degree,standard,none,82.0,80.0,77.0
409,female,group D,high school,free/reduced,completed,52.0,57.0,56.0
410,male,group D,associate's degree,standard,completed,87.0,84.0,85.0
411,female,group D,master's degree,standard,completed,70.0,71.0,74.0
412,male,group E,some college,standard,completed,84.0,83.0,78.0
413,male,group D,associate's degree,standard,none,71.0,66.0,60.0
414,male,group B,some high school,standard,completed,63.0,67.0,67.0
415,female,group C,bachelor's degree,free/reduced,completed,51.0,72.0,79.0
416,male,group E,high school,standard,none,84.0,73.0,69.0
417,male,group C,bachelor's degree,standard,completed,71.0,74.0,68.0
418,male,group C,associate's degree,standard,none,74.0,73.0,67.0
419,male,group D,some college,standard,none,68.0,59.0,62.0
420,male,group E,high school,free/reduced,completed,57.0,56.0,54.0
421,female,group C,associate's degree,free/reduced,completed,82.0,93.0,93.0
422,female,group D,high school,standard,completed,57.0,58.0,64.0
423,female,group D,master's degree,free/reduced,completed,47.0,58.0,67.0
424,female,group A,some high school,standard,completed,59.0,85.0,80.0
425,male,group B,some college,free/reduced,none,41.0,39.0,34.0
426,female,group C,some college,free/reduced,none,62.0,67.0,62.0
427,male,group C,bachelor's degree,standard,none,86.0,83.0,86.0
428,male,group C,some high school,free/reduced,none,69.0,71.0,65.0
429,male,group A,some high school,free/reduced,none,65.0,59.0,53.0
430,male,group C,some high school,free/reduced,none,68.0,63.0,54.0
431,male,group C,associate's degree,free/reduced,none,64.0,66.0,59.0
432,female,group C,high school,standard,none,61.0,72.0,70.0
433,male,group C,high school,standard,none,61.0,56.0,55.0
434,female,group A,some high school,free/reduced,none,47.0,59.0,50.0
435,male,group C,some high school,standard,none,73.0,66.0,66.0
436,male,group C,some college,free/reduced,completed,50.0,48.0,53.0
437,male,group D,associate's degree,standard,none,75.0,68.0,64.0
438,male,group D,associate's degree,free/reduced,none,75.0,66.0,73.0
439,male,group C,high school,standard,none,70.0,56.0,51.0
440,male,group D,some high school,standard,completed,89.0,88.0,82.0
441,female,group C,some college,standard,completed,67.0,81.0,79.0
442,female,group D,high school,standard,none,78.0,81.0,80.0
443,female,group A,some high school,free/reduced,none,59.0,73.0,69.0
444,female,group B,associate's degree,standard,none,73.0,83.0,76.0
445,male,group A,some high school,free/reduced,none,79.0,82.0,73.0
446,female,group C,some high school,standard,completed,67.0,74.0,77.0
447,male,group D,some college,free/reduced,none,69.0,66.0,60.0
448,male,group C,high school,standard,completed,86.0,81.0,80.0
449,male,group B,high school,standard,none,47.0,46.0,42.0
450,male,group B,associate's degree,standard,none,81.0,73.0,72.0
451,female,group C,some college,free/reduced,completed,64.0,85.0,85.0
452,female,group E,some college,standard,none,100.0,92.0,97.0
453,female,group C,associate's degree,free/reduced,none,65.0,77.0,74.0
454,male,group C,some college,free/reduced,none,65.0,58.0,49.0
455,female,group C,associate's degree,free/reduced,none,53.0,61.0,62.0
456,male,group C,bachelor's degree,free/reduced,none,37.0,56.0,47.0
457,female,group D,bachelor's degree,standard,none,79.0,89.0,89.0
458,male,group D,associate's degree,free/reduced,none,53.0,54.0,48.0
459,female,group E,bachelor's degree,standard,none,100.0,100.0,100.0
460,male,group B,high school,standard,completed,72.0,65.0,68.0
461,male,group C,bachelor's degree,free/reduced,none,53.0,58.0,55.0
462,male,group B,some college,free/reduced,none,54.0,54.0,45.0
463,female,group E,some college,standard,none,71.0,70.0,76.0
