id,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
109,female,group B,associate's degree,free/reduced,none,52.0,76.0,70.0
590,female,group A,some high school,standard,none,48.0,66.0,65.0
57,female,group E,associate's degree,standard,completed,82.0,85.0,86.0
406,female,group C,some high school,standard,none,63.0,73.0,68.0
443,female,group A,some high school,free/reduced,none,59.0,73.0,69.0
759,female,group D,some college,free/reduced,completed,52.0,59.0,65.0
862,female,group E,master's degree,free/reduced,none,81.0,86.0,87.0
25,male,group D,bachelor's degree,free/reduced,completed,74.0,71.0,80.0
468,male,group A,high school,free/reduced,completed,72.0,67.0,65.0
540,male,group A,associate's degree,standard,completed,97.0,92.0,86.0
532,female,group C,some high school,standard,none,47.0,54.0,53.0
797,male,group D,high school,standard,none,70.0,70.0,70.0
696,female,group D,some college,free/reduced,none,79.0,89.0,86.0
928,female,group D,high school,free/reduced,completed,65.0,61.0,71.0
339,female,group B,some high school,free/reduced,none,24.0,38.0,27.0
52,male,group E,associate's degree,free/reduced,completed,77.0,69.0,68.0
508,male,group B,bachelor's degree,free/reduced,none,55.0,59.0,54.0
517,female,group D,some college,standard,none,74.0,89.0,84.0
922,female,group C,high school,free/reduced,none,35.0,53.0,46.0
634,female,group C,high school,standard,none,75.0,88.0,85.0
265,male,group D,high school,standard,none,76.0,73.0,68.0
588,female,group C,bachelor's degree,free/reduced,none,44.0,63.0,62.0
712,female,group E,some high school,standard,completed,80.0,85.0,85.0
737,male,group C,associate's degree,standard,none,92.0,79.0,84.0
834,female,group B,high school,standard,completed,77.0,82.0,89.0
519,female,group D,some high school,standard,completed,66.0,78.0,78.0
448,male,group C,high school,standard,completed,86.0,81.0,80.0
19,male,group C,master's degree,free/reduced,completed,46.0,42.0,46.0
717,male,group C,associate's degree,standard,completed,73.0,78.0,72.0
484,male,group A,high school,standard,none,59.0,52.0,46.0
569,male,group B,high school,free/reduced,none,63.0,48.0,47.0
434,female,group A,some high school,free/reduced,none,47.0,59.0,50.0
368,male,group C,bachelor's degree,free/reduced,none,61.0,66.0,61.0
84,male,group E,associate's degree,standard,none,72.0,64.0,63.0
62,male,group A,some high school,free/reduced,none,39.0,39.0,34.0
650,female,group D,some college,standard,completed,69.0,79.0,81.0
273,female,group D,associate's degree,free/reduced,none,47.0,53.0,58.0
286,male,group B,associate's degree,standard,completed,81.0,82.0,82.0
361,female,group B,high school,standard,none,58.0,62.0,59.0
355,female,group C,some college,standard,none,59.0,71.0,70.0
457,female,group D,bachelor's degree,standard,none,79.0,89.0,89.0
279,female,group C,some high school,free/reduced,none,65.0,86.0,80.0
13,female,group B,high school,standard,none,65.0,81.0,73.0
183,female,group E,high school,standard,none,50.0,50.0,47.0
369,female,group A,some high school,free/reduced,none,44.0,64.0,58.0
883,female,group B,high school,free/reduced,none,64.0,73.0,71.0
617,female,group E,bachelor's degree,standard,none,37.0,45.0,38.0
224,male,group D,some high school,standard,none,86.0,80.0,75.0
801,male,group C,some high school,standard,completed,67.0,73.0,68.0
995,male,group A,high school,standard,none,63.0,63.0,62.0
814,male,group E,some high school,standard,completed,87.0,84.0,76.0
546,male,group E,some high school,free/reduced,completed,78.0,83.0,80.0
584,female,group D,associate's degree,standard,completed,73.0,75.0,80.0
724,male,group C,high school,standard,none,50.0,48.0,42.0
177,female,group B,high school,free/reduced,completed,46.0,54.0,58.0
667,female,group C,some college,free/reduced,completed,63.0,73.0,71.0
629,male,group D,some college,free/reduced,none,49.0,57.0,46.0
865,male,group C,associate's degree,standard,none,97.0,93.0,91.0
875,female,group C,bachelor's degree,free/reduced,none,43.0,62.0,61.0
394,male,group C,associate's degree,standard,completed,57.0,54.0,56.0
164,male,group C,high school,standard,none,52.0,53.0,49.0
249,female,group B,high school,standard,none,65.0,64.0,62.0
636,male,group A,high school,standard,none,71.0,74.0,64.0
887,female,group E,associate's degree,standard,completed,93.0,100.0,95.0
671,female,group C,high school,free/reduced,none,66.0,76.0,68.0
376,male,group E,associate's degree,free/reduced,none,46.0,43.0,41.0
413,male,group D,associate's degree,standard,none,71.0,66.0,60.0
75,male,group C,some high school,standard,none,49.0,49.0,41.0
114,female,group D,some college,standard,none,51.0,58.0,54.0
571,male,group B,some college,standard,completed,71.0,75.0,70.0
963,female,group E,associate's degree,standard,none,100.0,100.0,100.0
391,male,group E,some high school,free/reduced,completed,73.0,67.0,59.0
105,male,group C,some college,standard,completed,98.0,86.0,90.0
115,female,group E,bachelor's degree,standard,completed,99.0,100.0,100.0
418,male,group C,associate's degree,standard,none,74.0,73.0,67.0
526,male,group E,some college,standard,none,68.0,60.0,59.0
458,male,group D,associate's degree,free/reduced,none,53.0,54.0,48.0
410,male,group D,associate's degree,standard,completed,87.0,84.0,85.0
93,male,group C,high school,standard,none,71.0,79.0,71.0
932,male,group D,some college,free/reduced,none,62.0,57.0,62.0
90,female,group D,some high school,standard,none,73.0,86.0,82.0
337,male,group D,some high school,standard,completed,76.0,70.0,69.0
990,female,group D,some college,free/reduced,completed,67.0,86.0,83.0
923,male,group D,high school,standard,none,72.0,66.0,66.0
935,male,group C,associate's degree,standard,completed,98.0,87.0,90.0
698,female,group A,bachelor's degree,standard,none,59.0,72.0,70.0
595,female,group C,bachelor's degree,standard,completed,92.0,100.0,99.0
753,male,group C,master's degree,free/reduced,completed,79.0,77.0,75.0
95,female,group B,some college,standard,none,79.0,86.0,92.0
12,male,group D,associate's degree,standard,none,40.0,52.0,43.0
397,female,group B,high school,free/reduced,none,50.0,67.0,63.0
534,female,group E,associate's degree,standard,completed,79.0,88.0,94.0
44,male,group B,some college,free/reduced,completed,59.0,65.0,66.0
43,female,group B,associate's degree,standard,none,53.0,58.0,65.0
330,female,group B,some high school,standard,none,41.0,55.0,51.0
168,female,group B,master's degree,free/reduced,completed,58.0,76.0,78.0
498,female,group D,some college,free/reduced,completed,59.0,78.0,76.0
878,male,group C,some high school,standard,none,57.0,61.0,54.0
599,female,group D,high school,standard,none,69.0,77.0,73.0
758,male,group E,bachelor's degree,free/reduced,completed,70.0,68.0,72.0
101,male,group B,some college,standard,none,79.0,67.0,67.0
427,male,group C,bachelor's degree,standard,none,86.0,83.0,86.0
179,female,group B,master's degree,free/reduced,completed,52.0,70.0,62.0
445,male,group A,some high school,free/reduced,none,79.0,82.0,73.0
417,male,group C,bachelor's degree,standard,completed,71.0,74.0,68.0
775,male,group B,some college,standard,none,66.0,65.0,60.0
884,male,group D,bachelor's degree,free/reduced,none,55.0,46.0,44.0
713,female,group D,some college,standard,none,98.0,100.0,99.0
178,female,group C,associate's degree,standard,completed,71.0,77.0,77.0
396,male,group A,high school,free/reduced,none,48.0,45.0,41.0
678,female,group C,some high school,standard,completed,70.0,82.0,76.0
831,female,group A,some college,free/reduced,none,61.0,60.0,57.0
962,female,group D,some high school,free/reduced,none,48.0,54.0,53.0
686,female,group E,master's degree,standard,completed,94.0,99.0,100.0
384,female,group E,some high school,free/reduced,none,38.0,49.0,45.0
958,female,group D,master's degree,standard,none,92.0,100.0,100.0
614,female,group C,associate's degree,standard,none,65.0,77.0,74.0
258,male,group C,associate's degree,standard,completed,78.0,77.0,77.0
539,male,group E,bachelor's degree,standard,completed,85.0,66.0,71.0
336,female,group B,some college,free/reduced,none,61.0,68.0,66.0
16,female,group C,some high school,standard,none,69.0,75.0,78.0
325,female,group C,high school,free/reduced,none,41.0,46.0,43.0
760,male,group B,some college,standard,completed,69.0,77.0,77.0
223,female,group C,some high school,free/reduced,none,55.0,65.0,62.0
180,female,group D,some high school,standard,completed,97.0,100.0,100.0
985,female,group C,some high school,standard,none,74.0,75.0,82.0
23,male,group D,some college,standard,none,44.0,54.0,53.0
357,male,group A,associate's degree,standard,none,63.0,61.0,61.0
668,female,group B,bachelor's degree,free/reduced,none,77.0,85.0,87.0
903,female,group A,high school,free/reduced,completed,34.0,48.0,41.0
341,male,group C,high school,free/reduced,none,58.0,61.0,52.0
432,female,group C,high school,standard,none,61.0,72.0,70.0
552,male,group B,bachelor's degree,free/reduced,completed,87.0,90.0,88.0
835,male,group B,some college,standard,none,58.0,50.0,45.0
204,female,group B,associate's degree,standard,none,57.0,69.0,68.0
632,male,group B,high school,standard,none,79.0,60.0,65.0
94,male,group C,associate's degree,free/reduced,completed,43.0,45.0,50.0
559,female,group B,associate's degree,free/reduced,none,53.0,70.0,70.0
69,male,group B,associate's degree,free/reduced,none,61.0,58.0,56.0
694,female,group D,associate's degree,standard,none,77.0,77.0,73.0
285,female,group B,some high school,standard,none,37.0,46.0,46.0
975,female,group A,some college,standard,none,54.0,63.0,67.0
435,male,group C,some high school,standard,none,73.0,66.0,66.0
154,male,group D,bachelor's degree,standard,none,54.0,49.0,47.0
76,male,group B,associate's degree,free/reduced,none,44.0,41.0,38.0
732,male,group A,some high school,free/reduced,none,55.0,46.0,43.0
447,male,group D,some college,free/reduced,none,69.0,66.0,60.0
189,male,group B,some high school,free/reduced,none,48.0,52.0,45.0
272,male,group C,some college,standard,none,58.0,49.0,42.0
237,male,group D,bachelor's degree,free/reduced,none,63.0,66.0,67.0
488,female,group C,associate's degree,free/reduced,none,60.0,75.0,74.0
118,female,group D,bachelor's degree,standard,none,78.0,82.0,79.0
820,female,group C,some high school,standard,none,77.0,91.0,88.0
513,male,group D,some high school,free/reduced,none,62.0,49.0,52.0
827,female,group C,associate's degree,free/reduced,completed,56.0,68.0,70.0
867,male,group C,high school,free/reduced,none,59.0,53.0,52.0
127,male,group B,some high school,standard,none,72.0,68.0,67.0
117,female,group B,bachelor's degree,free/reduced,none,75.0,85.0,82.0
474,female,group D,some high school,standard,none,59.0,67.0,61.0
695,female,group C,some high school,standard,none,49.0,63.0,56.0
58,male,group D,associate's degree,standard,none,52.0,55.0,49.0
676,female,group B,some college,standard,completed,50.0,64.0,66.0
914,female,group C,bachelor's degree,free/reduced,completed,47.0,62.0,66.0
370,female,group D,some high school,standard,none,73.0,84.0,85.0
269,female,group D,associate's degree,standard,completed,88.0,92.0,95.0
47,female,group A,associate's degree,standard,completed,55.0,65.0,62.0
350,male,group E,associate's degree,standard,none,87.0,74.0,76.0
196,male,group D,associate's degree,standard,none,61.0,55.0,52.0
1001,,,,,,,,
836,female,group C,high school,standard,completed,60.0,64.0,74.0
738,female,group B,some college,free/reduced,completed,53.0,66.0,73.0
264,female,group E,high school,standard,none,99.0,93.0,90.0
444,female,group B,associate's degree,standard,none,73.0,83.0,76.0
999,female,group D,some college,standard,completed,68.0,78.0,77.0
305,female,group C,associate's degree,standard,completed,74.0,75.0,83.0
342,female,group C,high school,standard,none,61.0,73.0,63.0
600,female,group D,some high school,standard,none,65.0,82.0,81.0
968,male,group C,some college,standard,none,63.0,63.0,60.0
150,male,group E,associate's degree,free/reduced,completed,100.0,100.0,93.0
125,male,group E,some college,standard,none,83.0,80.0,73.0
788,female,group B,some college,standard,none,19.0,38.0,32.0
51,male,group E,some college,standard,none,53.0,55.0,48.0
354,female,group C,associate's degree,standard,none,46.0,58.0,57.0
929,male,group E,associate's degree,free/reduced,completed,46.0,43.0,44.0
143,female,group E,some college,free/reduced,completed,42.0,55.0,54.0
471,female,group C,associate's degree,standard,completed,83.0,85.0,90.0
400,male,group D,some high school,standard,none,60.0,59.0,54.0
627,male,group B,associate's degree,free/reduced,completed,69.0,70.0,63.0
321,female,group C,high school,free/reduced,completed,67.0,79.0,84.0
20,female,group C,associate's degree,free/reduced,none,54.0,58.0,61.0
811,male,group A,some high school,standard,none,51.0,31.0,36.0
888,male,group C,high school,free/reduced,none,54.0,72.0,59.0
810,male,group B,bachelor's degree,standard,none,59.0,54.0,51.0
408,female,group B,associate's degree,standard,none,82.0,80.0,77.0
538,female,group D,high school,standard,none,51.0,66.0,62.0
622,male,group B,bachelor's degree,free/reduced,none,62.0,63.0,56.0
39,female,group D,associate's degree,free/reduced,completed,75.0,90.0,88.0
176,female,group C,master's degree,standard,completed,81.0,91.0,87.0
246,male,group C,associate's degree,standard,none,85.0,76.0,71.0
830,male,group B,some high school,standard,none,68.0,54.0,53.0
669,male,group C,some college,standard,none,73.0,74.0,61.0
756,female,group E,associate's degree,standard,none,84.0,95.0,92.0
860,male,group C,associate's degree,free/reduced,none,87.0,73.0,72.0
155,male,group D,some high school,standard,none,62.0,67.0,61.0
288,female,group B,some high school,standard,none,67.0,89.0,82.0
604,male,group D,high school,free/reduced,none,60.0,57.0,51.0
570,male,group D,bachelor's degree,free/reduced,none,68.0,68.0,67.0
781,female,group D,associate's degree,free/reduced,none,46.0,56.0,57.0
18,female,group B,some high school,free/reduced,none,18.0,32.0,28.0
128,male,group D,some college,standard,completed,65.0,77.0,74.0
323,female,group C,some college,standard,none,71.0,81.0,80.0
256,female,group E,some college,standard,none,62.0,73.0,70.0
803,female,group E,associate's degree,standard,none,87.0,94.0,95.0
966,female,group D,some college,standard,none,62.0,70.0,72.0
191,female,group E,associate's degree,standard,none,66.0,65.0,69.0
116,male,group C,high school,standard,none,84.0,77.0,74.0
618,male,group D,bachelor's degree,standard,none,88.0,78.0,83.0
607,female,group C,associate's degree,standard,none,85.0,84.0,82.0
181,male,group C,master's degree,free/reduced,completed,62.0,68.0,75.0
302,male,group D,some high school,free/reduced,none,56.0,54.0,52.0
761,female,group C,high school,free/reduced,none,53.0,72.0,64.0
714,male,group D,master's degree,standard,none,81.0,81.0,84.0
894,male,group D,some high school,standard,completed,88.0,74.0,75.0
954,male,group C,high school,standard,completed,58.0,52.0,54.0
663,female,group D,some college,free/reduced,none,55.0,71.0,69.0
518,female,group E,some college,standard,completed,66.0,74.0,73.0
986,male,group A,high school,standard,none,57.0,51.0,54.0
46,male,group B,associate's degree,standard,none,65.0,54.0,57.0
911,male,group D,bachelor's degree,free/reduced,none,50.0,42.0,48.0
158,male,group B,some college,free/reduced,none,60.0,60.0,60.0
746,male,group D,associate's degree,standard,none,72.0,79.0,74.0
172,male,group E,some high school,standard,none,94.0,88.0,78.0
17,male,group C,high school,standard,none,88.0,89.0,86.0
512,male,group A,some high school,standard,none,64.0,50.0,43.0
49,female,group D,associate's degree,free/reduced,completed,57.0,74.0,76.0
973,female,group A,high school,free/reduced,completed,53.0,50.0,60.0
842,male,group C,some high school,standard,none,64.0,58.0,51.0
516,female,group C,some high school,standard,completed,76.0,87.0,85.0
688,male,group D,associate's degree,free/reduced,none,77.0,78.0,73.0
481,male,group B,high school,standard,completed,73.0,71.0,68.0
284,female,group D,some college,free/reduced,completed,70.0,78.0,78.0
893,female,group A,master's degree,free/reduced,none,50.0,67.0,73.0
656,female,group B,some college,standard,none,62.0,67.0,67.0
226,female,group E,master's degree,free/reduced,none,45.0,56.0,54.0
27,male,group B,some college,standard,none,69.0,54.0,55.0
784,female,group C,associate's degree,standard,completed,52.0,59.0,62.0
438,male,group D,associate's degree,free/reduced,none,75.0,66.0,73.0
953,female,group E,some high school,free/reduced,none,74.0,74.0,72.0
365,male,group C,some college,standard,none,59.0,60.0,58.0
230,female,group C,some college,standard,completed,88.0,95.0,94.0
38,female,group D,some high school,free/reduced,none,50.0,64.0,59.0
967,male,group A,some high school,standard,completed,66.0,68.0,64.0
375,female,group D,bachelor's degree,standard,none,59.0,70.0,73.0
470,male,group C,some college,standard,none,91.0,74.0,76.0
969,female,group E,associate's degree,standard,none,68.0,76.0,67.0
852,female,group A,high school,standard,none,61.0,68.0,63.0
706,male,group A,bachelor's degree,free/reduced,none,62.0,72.0,65.0
931,male,group C,some college,free/reduced,completed,67.0,74.0,70.0
195,female,group C,master's degree,standard,completed,69.0,84.0,85.0
856,female,group B,bachelor's degree,standard,none,97.0,97.0,96.0
866,male,group D,some college,standard,completed,82.0,82.0,88.0
504,female,group E,associate's degree,standard,completed,95.0,89.0,92.0
971,female,group D,bachelor's degree,standard,none,89.0,100.0,100.0
949,male,group B,some high school,free/reduced,completed,49.0,50.0,52.0
580,female,group D,master's degree,standard,none,53.0,61.0,68.0
970,female,group B,bachelor's degree,standard,none,75.0,84.0,80.0
163,male,group B,master's degree,free/reduced,none,49.0,53.0,52.0
704,female,group D,some college,standard,none,63.0,64.0,67.0
153,female,group B,associate's degree,standard,completed,59.0,70.0,66.0
683,male,group B,high school,standard,none,62.0,55.0,54.0
896,female,group E,some high school,free/reduced,none,32.0,34.0,38.0
757,male,group D,some college,standard,none,55.0,58.0,52.0
